id	Question	Gold answers	Model answer	Acceptable?	BEM probs per gold answer
27	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	an expression of praise or adoration; a cry of acclamation or adoration; a shout of praise or joy.	No	"[[0.9602816104888916, 0.03971855342388153], [0.9645162224769592, 0.03548375517129898], [0.9261554479598999, 0.07384452223777771], [0.9631460905075073, 0.03685393184423447]]"
28	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	save	Yes	"[[0.9622786641120911, 0.037721339613199234], [0.858544111251831, 0.14145594835281372], [0.010699965991079807, 0.989300012588501], [0.9421594738960266, 0.057840462774038315]]"
29	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	"rescue, savior"	Yes	"[[0.010756442323327065, 0.9892435073852539], [0.009602443315088749, 0.9903976917266846], [0.053854089230298996, 0.9461458325386047], [0.009798925369977951, 0.9902009963989258]]"
30	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	"save, rescue, savior"	Yes	"[[0.009061151184141636, 0.9909387230873108], [0.009518517181277275, 0.990481436252594], [0.010504534468054771, 0.9894954562187195], [0.009504275396466255, 0.9904957413673401]]"
31	what is the definition of the word hosanna	"savior | save, rescue, savior | save | rescue"	rescue	Yes	"[[0.9641332030296326, 0.035866931080818176], [0.7353447079658508, 0.26465511322021484], [0.6957030892372131, 0.30429691076278687], [0.009738964959979057, 0.9902611374855042]]"
32	when does boomer find out she a cylon	Kobol's Last Gleaming	Unknown.	No	"[[0.9587684273719788, 0.04123156517744064]]"
33	when does boomer find out she a cylon	Kobol's Last Gleaming	` ` downloaded''	No	"[[0.9634749889373779, 0.03652513399720192]]"
34	when does boomer find out she a cylon	Kobol's Last Gleaming	"In the episode ""Crossroads, Part II"""	No	"[[0.9647926688194275, 0.03520730882883072]]"
35	when does boomer find out she a cylon	Kobol's Last Gleaming	Colonial Day	No	"[[0.9666310548782349, 0.03336881101131439]]"
36	when does boomer find out she a cylon	Kobol's Last Gleaming	In the final episode	No	"[[0.9604874849319458, 0.039512500166893005]]"
37	when does boomer find out she a cylon	Kobol's Last Gleaming	Downloaded	No	"[[0.9615246653556824, 0.03847528621554375]]"
38	when does boomer find out she a cylon	Kobol's Last Gleaming	final episode	No	"[[0.9606978297233582, 0.039302095770835876]]"
39	who sang the most number of songs in the world	Asha Bhosle	Unknown.	No	"[[0.9301382303237915, 0.06986181437969208]]"
40	who sang the most number of songs in the world	Asha Bhosle	Asha Bhosle	Yes	"[[0.010122113861143589, 0.9898778200149536]]"
41	who sang the most number of songs in the world	Asha Bhosle	The Beatles	No	"[[0.954888105392456, 0.045111846178770065]]"
42	who sang the most number of songs in the world	Asha Bhosle	Indian playback singer Asha Bhosle	Yes	"[[0.016421930864453316, 0.983578085899353]]"
43	who sang the most number of songs in the world	Asha Bhosle	Paul McCartney	No	"[[0.953840434551239, 0.046159528195858]]"
44	who sang the most number of songs in the world	Asha Bhosle	Lata Mangeshkar	No	"[[0.9549428820610046, 0.04505706951022148]]"
45	who sang the most number of songs in the world	Asha Bhosle	beatles	No	"[[0.9536243081092834, 0.046375714242458344]]"
46	who sang the most number of songs in the world	Asha Bhosle	Sripathi Panditaradhyula Balasubrahmanyam	No	"[[0.9598674178123474, 0.04013250023126602]]"
47	who sang the song oh what a lonely boy	Andrew Gold	paul anka	No	"[[0.9575251340866089, 0.042474813759326935]]"
48	who sang the song oh what a lonely boy	Andrew Gold	Andrew Gold	Yes	"[[0.011316336691379547, 0.9886835217475891]]"
49	who sang the song oh what a lonely boy	Andrew Gold	Elton John	No	"[[0.9571455717086792, 0.04285447299480438]]"
50	who sang the song oh what a lonely boy	Andrew Gold	The Black Keys	No	"[[0.9507051706314087, 0.04929481819272041]]"
51	who sang the song oh what a lonely boy	Andrew Gold	"The song ""Oh What a Lonely Boy"" was sung by Jack Savoretti."	No	"[[0.508261501789093, 0.49173852801322937]]"
52	who did kenny rogers sing mary did you know with	Wynonna Judd	wynonna judd	Yes	"[[0.011414602398872375, 0.9885854721069336]]"
53	who did kenny rogers sing mary did you know with	Wynonna Judd	"Kenny Rogers sang ""Mary, Did You Know?"" with Wynonna Judd."	Yes	"[[0.011941058561205864, 0.9880590438842773]]"
54	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	Queen Charlotte	No	"[[0.6362484693527222, 0.36375153064727783]]"
55	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	North American Lutherans	No	"[[0.9661217331886292, 0.03387826681137085]]"
56	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	Prince Albert	No	"[[0.9642141461372375, 0.03578578680753708]]"
57	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	Charlotte of Mecklenburg-Strelitz	Yes	"[[0.01121580507606268, 0.9887842535972595]]"
58	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	charlotte of mecklenburg - strelitz	Yes	"[[0.01121580507606268, 0.9887842535972595]]"
59	who introduced the first chrismas tree to the uk	Charlotte of Mecklenburg-Strelitz	"Prince Albert, husband of Queen Victoria, is credited with introducing the first Christmas tree to the UK in 1841."	No	"[[0.8647353053092957, 0.13526470959186554]]"
60	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	Yuvraj Singh	No	"[[0.9520768523216248, 0.04792315512895584], [0.9584847092628479, 0.0415152907371521]]"
61	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	chris gayle	No	"[[0.9535136222839355, 0.04648648947477341], [0.956209659576416, 0.04379041865468025]]"
62	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	Malcolm Nash	No	"[[0.9591846466064453, 0.040815308690071106], [0.9597302675247192, 0.04026973247528076]]"
63	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	indian cricketer yuvraj singh	No	"[[0.8812717795372009, 0.11872818320989609], [0.9507071375846863, 0.04929288849234581]]"
64	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	Yuvraj Singh.	No	"[[0.950250506401062, 0.04974956065416336], [0.9565909504890442, 0.043408989906311035]]"
65	who hit 6 sixes in an over in test cricket	Ravi Shastri | Garfield Sobers	Herschelle Gibbs	No	"[[0.9573805332183838, 0.04261939600110054], [0.9573928713798523, 0.04260701313614845]]"
66	who is rose in the fall season 2	Valene Kane	Lena	No	"[[0.9545096755027771, 0.04549027606844902]]"
67	who is rose in the fall season 2	Valene Kane	caity lotz	No	"[[0.954735517501831, 0.045264534652233124]]"
68	who is rose in the fall season 2	Valene Kane	Rose is a new character introduced in the second season of the show Fall. She is a mysterious woman who is connected to the supernatural events occurring in the town.	No	"[[0.9142380952835083, 0.08576186746358871]]"
69	who is rose in the fall season 2	Valene Kane	Lauren Cohan	No	"[[0.9572407007217407, 0.04275937378406525]]"
70	who is rose in the fall season 2	Valene Kane	Christine White	No	"[[0.9564115405082703, 0.04358849674463272]]"
71	who is rose in the fall season 2	Valene Kane	the headmistress Cinderella	No	"[[0.9492656588554382, 0.05073431134223938]]"
72	who is rose in the fall season 2	Valene Kane	Rose Leslie	No	"[[0.9520692229270935, 0.04793078824877739]]"
73	who is rose in the fall season 2	Valene Kane	valene kane	Yes	"[[0.010522471740841866, 0.9894775152206421]]"
74	when was the letter j introduced to the alphabet	1524 | in Middle High German	Late 16th century	No	"[[0.9532236456871033, 0.04677630588412285], [0.9557575583457947, 0.0442424900829792]]"
75	when was the letter j introduced to the alphabet	1524 | in Middle High German	fifteenth century	No	"[[0.9497409462928772, 0.05025901645421982], [0.9547635316848755, 0.04523642361164093]]"
76	when was the letter j introduced to the alphabet	1524 | in Middle High German	by the fifteenth century	No	"[[0.9586723446846008, 0.04132767766714096], [0.958468496799469, 0.04153154417872429]]"
77	when was the letter j introduced to the alphabet	1524 | in Middle High German	the 17th century	No	"[[0.9602128863334656, 0.03978707641363144], [0.9563210010528564, 0.04367895424365997]]"
78	when was the letter j introduced to the alphabet	1524 | in Middle High German	the 16th century	No	"[[0.9541397094726562, 0.04586024582386017], [0.9559885859489441, 0.044011373072862625]]"
79	when was the letter j introduced to the alphabet	1524 | in Middle High German	The letter J was introduced to the English alphabet in the 16th century.	No	"[[0.9188852310180664, 0.08111480623483658], [0.8126288056373596, 0.18737120926380157]]"
80	what was the full name of the titanic	RMS Titanic	rms titanic	Yes	"[[0.010019826702773571, 0.989980161190033]]"
81	what was the full name of the titanic	RMS Titanic	RMS Titanic.	Yes	"[[0.010344586335122585, 0.9896553158760071]]"
82	what was the full name of the titanic	RMS Titanic	Titan	No	"[[0.9497180581092834, 0.05028195679187775]]"
83	what was the full name of the titanic	RMS Titanic	SS Titanic	No	"[[0.6127803921699524, 0.38721954822540283]]"
84	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	Paul Cummins and Tom Piper	Yes	"[[0.730086624622345, 0.26991334557533264], [0.016376357525587082, 0.9836236834526062], [0.013310957700014114, 0.9866890907287598]]"
85	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	Paul Cummins	Yes	"[[0.9630707502365112, 0.03692921623587608], [0.9605116248130798, 0.03948834165930748], [0.011569377034902573, 0.9884306192398071]]"
86	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	The Poppy Factory	No	"[[0.9640016555786133, 0.035998281091451645], [0.9602731466293335, 0.03972678259015083], [0.9555627703666687, 0.044437307864427567]]"
87	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	The poppies at the Tower of London were created by artist Paul Cummins and designer Tom Piper.	Yes	"[[0.1401444971561432, 0.8598555326461792], [0.016042696312069893, 0.9839572906494141], [0.01441346388310194, 0.9855864644050598]]"
88	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	foxs	No	"[[0.9636541604995728, 0.03634590655565262], [0.9589653611183167, 0.041034746915102005], [0.9547763466835022, 0.045223645865917206]]"
89	who made the poppies at tower of london	stage designer Tom Piper | Tom Piper | Paul Cummins	tom piper	Yes	"[[0.567125678062439, 0.4328743517398834], [0.013332022354006767, 0.986668050289154], [0.9618843793869019, 0.038115665316581726]]"
90	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	sorrow regarding environment	Yes	"[[0.009270652197301388, 0.9907293319702148], [0.017025502398610115, 0.9829744696617126]]"
91	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	the environment	Yes	"[[0.7390457391738892, 0.2609542906284332], [0.009308277629315853, 0.9906916618347168]]"
92	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	Environmental pollution and destruction of nature	Yes	"[[0.9405818581581116, 0.05941808968782425], [0.08863549679517746, 0.9113644361495972]]"
93	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	environmental	Yes	"[[0.6551902294158936, 0.34480980038642883], [0.010081597603857517, 0.9899184107780457]]"
94	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	Mercy Mercy Me (The Ecology) by Marvin Gaye is a song about the environmental destruction of the Earth and the need for conservation.	Yes	"[[0.01988867297768593, 0.980111300945282], [0.00835338793694973, 0.9916465878486633]]"
95	what is mercy mercy me by marvin gaye about	sorrow regarding the environment | the environment	the ecology	Yes	"[[0.9534943103790283, 0.046505723148584366], [0.009851651266217232, 0.9901483058929443]]"
96	when is the last time the jaguars won a playoff game	2017	2017	Yes	"[[0.009831265546381474, 0.9901687502861023]]"
97	when is the last time the jaguars won a playoff game	2017	"The Jacksonville Jaguars last won a playoff game on January 14, 2018, when they defeated the Pittsburgh Steelers 45-42 in the AFC Divisional Round."	No	"[[0.5269274115562439, 0.47307252883911133]]"
98	when is the last time the jaguars won a playoff game	2017	"January 7, 2018"	No	"[[0.9489960074424744, 0.05100393667817116]]"
99	when is the last time the jaguars won a playoff game	2017	2007	No	"[[0.9277709722518921, 0.07222907990217209]]"
100	when is the last time the jaguars won a playoff game	2017	"January 14 , 2018"	No	"[[0.948115885257721, 0.05188411474227905]]"
101	who got the most rings in the nba	Bill Russell	"Bill Russell, with 11 NBA championships."	Yes	"[[0.008764981292188168, 0.9912350177764893]]"
102	who got the most rings in the nba	Bill Russell	bill russell	Yes	"[[0.010018211789429188, 0.9899817705154419]]"
103	who got the most rings in the nba	Bill Russell	Bill Russell (11 rings)	Yes	"[[0.008555768989026546, 0.9914441704750061]]"
104	where did the ancestors of the domestic goat originate	Iran	The ancestors of the domestic goat originated in the Middle East and Central Asia.	No	"[[0.5750027894973755, 0.4249972403049469]]"
105	where did the ancestors of the domestic goat originate	Iran	the mountains of western Asia	No	"[[0.9503063559532166, 0.04969348385930061]]"
106	where did the ancestors of the domestic goat originate	Iran	Southwest Asia and Eastern Europe	No	"[[0.9544067978858948, 0.045593295246362686]]"
107	where did the ancestors of the domestic goat originate	Iran	wild goat of southwestern asia	No	"[[0.9019964337348938, 0.09800354391336441]]"
108	where did the ancestors of the domestic goat originate	Iran	Southwest Asia	No	"[[0.949645459651947, 0.05035465583205223]]"
109	where did the ancestors of the domestic goat originate	Iran	eurasia	No	"[[0.9485948085784912, 0.05140521377325058]]"
110	who played major hochstetter in hogan's heroes	Howard Caine	Werner Klemperer.	No	"[[0.9599350094795227, 0.0400649756193161]]"
111	who played major hochstetter in hogan's heroes	Howard Caine	howard caine	Yes	"[[0.009805399924516678, 0.9901947379112244]]"
112	latest series of keeping up with the kardashians	14	The latest series of Keeping Up with the Kardashians is Season 18.	Yes	"[[0.41195833683013916, 0.5880416631698608]]"
113	latest series of keeping up with the kardashians	14	Rob & Chyna	No	"[[0.9445176124572754, 0.05548245832324028]]"
114	latest series of keeping up with the kardashians	14	Season 17	No	"[[0.9166171550750732, 0.08338269591331482]]"
115	latest series of keeping up with the kardashians	14	The fifteenth season	No	"[[0.9384438991546631, 0.06155615299940109]]"
116	latest series of keeping up with the kardashians	14	13th season	No	"[[0.9216539859771729, 0.07834599167108536]]"
117	latest series of keeping up with the kardashians	14	seventh season	No	"[[0.9418243169784546, 0.05817567929625511]]"
118	who plays reggie the robot in justin's house	Ben Faulks	Justin Fletcher	No	"[[0.6951093673706055, 0.30489060282707214]]"
119	who plays reggie the robot in justin's house	Ben Faulks	"Steven ""Steven"" Kynman"	No	"[[0.9583066701889038, 0.04169340059161186]]"
120	who plays reggie the robot in justin's house	Ben Faulks	steven ` ` steve'' kynman	No	"[[0.9565404057502747, 0.04345965012907982]]"
121	who plays reggie the robot in justin's house	Ben Faulks	"Steven ""Steve"" Kynman"	No	"[[0.9592177271842957, 0.040782198309898376]]"
122	who plays reggie the robot in justin's house	Ben Faulks	Robert James	No	"[[0.9577473998069763, 0.042252689599990845]]"
123	who plays reggie the robot in justin's house	Ben Faulks	carly hannah chaikin	No	"[[0.956404983997345, 0.04359517991542816]]"
124	who plays reggie the robot in justin's house	Ben Faulks	Steven Kynman	No	"[[0.9569403529167175, 0.043059688061475754]]"
125	who plays reggie the robot in justin's house	Ben Faulks	Reggie De Leon plays Reggie the Robot in Justin's House.	Yes	"[[0.3213694989681244, 0.6786304116249084]]"
126	who wrote he ain't heavy he's my brother lyrics	Bobby Scott | Bob Russell	Bobby Scott	Yes	"[[0.00881880521774292, 0.9911811947822571], [0.9536263942718506, 0.046373557299375534]]"
127	who wrote he ain't heavy he's my brother lyrics	Bobby Scott | Bob Russell	"The lyrics to ""He Ain't Heavy, He's My Brother"" were written by Bobby Scott and Bob Russell."	Yes	"[[0.010664799250662327, 0.989335298538208], [0.011280806735157967, 0.98871910572052]]"
128	who wrote he ain't heavy he's my brother lyrics	Bobby Scott | Bob Russell	bob russell	Yes	"[[0.9543759822845459, 0.04562389478087425], [0.009940496645867825, 0.990059494972229]]"
129	where does the lincoln highway begin and end	Lincoln Park in San Francisco	Lincoln Park in San Francisco	Yes	"[[0.010014510713517666, 0.989985466003418]]"
130	where does the lincoln highway begin and end	Lincoln Park in San Francisco	"The Lincoln Highway begins in Times Square in New York City and ends in San Francisco, California."	Yes	"[[0.13853545486927032, 0.8614645600318909]]"
131	where does the lincoln highway begin and end	Lincoln Park in San Francisco	kearney nebraska	No	"[[0.9607443809509277, 0.039255592972040176]]"
132	where does the lincoln highway begin and end	Lincoln Park in San Francisco	Times Square in New York City to Lincoln Park in San Francisco	Yes	"[[0.010745523497462273, 0.9892545342445374]]"
133	where does the lincoln highway begin and end	Lincoln Park in San Francisco	Times Square	No	"[[0.9610459804534912, 0.03895402327179909]]"
134	when was son of a preacher man released	"late 1968 | November 8, 1968"	September 1968	Yes	"[[0.3701443076133728, 0.6298556923866272], [0.6483601927757263, 0.3516398072242737]]"
135	when was son of a preacher man released	"late 1968 | November 8, 1968"	Son of a Preacher Man was released in 1968 by Dusty Springfield.	Yes	"[[0.10240263491868973, 0.8975974321365356], [0.35892772674560547, 0.6410722136497498]]"
136	when was son of a preacher man released	"late 1968 | November 8, 1968"	1968	Yes	"[[0.26412588357925415, 0.7358741164207458], [0.43705201148986816, 0.5629479289054871]]"
137	created propaganda to support the war effort & encourage the sale of war bonds	the government	William Gibbs McAdoo	No	"[[0.9355397820472717, 0.06446020305156708]]"
138	created propaganda to support the war effort & encourage the sale of war bonds	the government	war advertising board	No	"[[0.742353618144989, 0.2576462924480438]]"
139	created propaganda to support the war effort & encourage the sale of war bonds	the government	The Committee on Public Information	No	"[[0.9344482421875, 0.0655517652630806]]"
140	created propaganda to support the war effort & encourage the sale of war bonds	the government	The War Advertising Board	No	"[[0.7213367223739624, 0.27866330742836]]"
141	created propaganda to support the war effort & encourage the sale of war bonds	the government	The United States government created propaganda to support the war effort and encourage the sale of war bonds during World War II.	Yes	"[[0.012274651788175106, 0.9877251982688904]]"
142	what does ss stand for on naval ships	Single-screw Steamship	Submarine	No	"[[0.9552898406982422, 0.044710226356983185]]"
143	what does ss stand for on naval ships	Single-screw Steamship	"SS stands for ""Steam Ship"" on naval ships."	No	"[[0.8558501601219177, 0.14414985477924347]]"
144	what does ss stand for on naval ships	Single-screw Steamship	United States Ship	No	"[[0.9527592658996582, 0.047240789979696274]]"
145	what does ss stand for on naval ships	Single-screw Steamship	destroyer escort	No	"[[0.9531750679016113, 0.04682487994432449]]"
146	what does ss stand for on naval ships	Single-screw Steamship	submarine specialist	No	"[[0.959199070930481, 0.040800854563713074]]"
147	what does ss stand for on naval ships	Single-screw Steamship	steamship	No	"[[0.6633833646774292, 0.33661672472953796]]"
148	what does ss stand for on naval ships	Single-screw Steamship	Steam Ship	No	"[[0.9486236572265625, 0.05137641727924347]]"
149	india south africa test series 2018 highest runs	AB de Villiers | 286	Virat Kohli scored the highest runs in the India-South Africa Test series in 2018 with 558 runs.	Yes	"[[0.22703592479228973, 0.7729640007019043], [0.5399158596992493, 0.4600841999053955]]"
150	india south africa test series 2018 highest runs	AB de Villiers | 286	558	No	"[[0.9545419216156006, 0.045458097010850906], [0.9442973136901855, 0.05570269748568535]]"
151	india south africa test series 2018 highest runs	AB de Villiers | 286	296	No	"[[0.9492092132568359, 0.05079077556729317], [0.9295770525932312, 0.07042299211025238]]"
152	india south africa test series 2018 highest runs	AB de Villiers | 286	Virat Kohli ( India ) - 558 runs	No	"[[0.9283817410469055, 0.07161827385425568], [0.9267586469650269, 0.07324128597974777]]"
153	who is the lead singer of depeche mode	David Gahan	Dave Gahan.	Yes	"[[0.4544389545917511, 0.5455610752105713]]"
154	who is the lead singer of depeche mode	David Gahan	Dave Gahan	Yes	"[[0.4063436686992645, 0.5936563014984131]]"
155	where does the show the path take place	Upstate New York	upstate new york	Yes	"[[0.010063093155622482, 0.9899369478225708]]"
156	where does the show the path take place	Upstate New York	Peru	No	"[[0.9618930816650391, 0.038106970489025116]]"
157	where does the show the path take place	Upstate New York	"The Path is an American drama television series created by Jessica Goldberg and starring Aaron Paul, Michelle Monaghan, and Hugh Dancy. It takes place in upstate New York."	Yes	"[[0.011234871111810207, 0.9887650609016418]]"
158	where does the show the path take place	Upstate New York	"Parksdale, Long Island"	No	"[[0.9637973308563232, 0.03620278090238571]]"
159	who won the wwe championship elimination chamber 2018	Roman Reigns	Roman Reigns	Yes	"[[0.008804489858448505, 0.9911954998970032]]"
160	who won the wwe championship elimination chamber 2018	Roman Reigns	Alexa Bliss	No	"[[0.9592441916465759, 0.040755875408649445]]"
161	who won the wwe championship elimination chamber 2018	Roman Reigns	The 2018 WWE Championship Elimination Chamber was won by Alexa Bliss.	Yes	"[[0.33537599444389343, 0.664624035358429]]"
162	who played the female lead in the 1942 film casablanca	romantic drama | Ingrid Bergman	Ingrid Bergman.	Yes	"[[0.9634055495262146, 0.03659449517726898], [0.010618520900607109, 0.9893814325332642]]"
163	who played the female lead in the 1942 film casablanca	romantic drama | Ingrid Bergman	Ingrid Bergman	Yes	"[[0.9619462490081787, 0.03805376589298248], [0.011251104064285755, 0.9887489080429077]]"
164	when did teenage mutant ninja turtles come out	1984	"August 8, 2014"	No	"[[0.9627488851547241, 0.037251174449920654]]"
165	when did teenage mutant ninja turtles come out	1984	March 30 1990	No	"[[0.9600551724433899, 0.03994489833712578]]"
166	when did teenage mutant ninja turtles come out	1984	The Teenage Mutant Ninja Turtles first appeared in an American comic book published in May 1984.	Yes	"[[0.010082747787237167, 0.9899171590805054]]"
167	when did teenage mutant ninja turtles come out	1984	May 1984	Yes	"[[0.009049780666828156, 0.9909502863883972]]"
168	when did teenage mutant ninja turtles come out	1984	1984	Yes	"[[0.009148911572992802, 0.9908510446548462]]"
169	who turns into a bear in the hobbit	Beorn	Beorn	Yes	"[[0.011527175083756447, 0.9884727597236633]]"
170	who turns into a bear in the hobbit	Beorn	Beorn.	Yes	"[[0.01072397269308567, 0.9892759919166565]]"
171	what is the setting of the book hoot	Florida	an unnamed fantasy world	No	"[[0.9513717889785767, 0.04862811788916588]]"
172	what is the setting of the book hoot	Florida	"Coconut Cove, Florida"	Yes	"[[0.011899866163730621, 0.9881000518798828]]"
173	what is the setting of the book hoot	Florida	florida	Yes	"[[0.011845539323985577, 0.9881544709205627]]"
174	what is the setting of the book hoot	Florida	The setting of the book Hoot is Florida.	Yes	"[[0.014349495992064476, 0.9856504201889038]]"
175	what is the setting of the book hoot	Florida	"Coconut Cove , Florida"	Yes	"[[0.011899866163730621, 0.9881000518798828]]"
176	when did michael jordan return to the nba	March 1995 | 2001 | in March 1995 | 1995	March 1995	Yes	"[[0.010395205579698086, 0.9896048903465271], [0.9439429640769958, 0.056056998670101166], [0.009170889854431152, 0.9908290505409241], [0.009430843405425549, 0.9905689358711243]]"
177	when did michael jordan return to the nba	March 1995 | 2001 | in March 1995 | 1995	Michael Jordan returned to the NBA in 1995.	Yes	"[[0.04258643835783005, 0.9574134945869446], [0.7777848839759827, 0.22221507132053375], [0.01034893374890089, 0.9896510243415833], [0.010755334980785847, 0.9892446994781494]]"
178	when did michael jordan return to the nba	March 1995 | 2001 | in March 1995 | 1995	2001–02	Yes	"[[0.9466376900672913, 0.053362272679805756], [0.009387816302478313, 0.990612268447876], [0.9357011914253235, 0.06429892778396606], [0.9395182728767395, 0.060481660068035126]]"
179	when did michael jordan return to the nba	March 1995 | 2001 | in March 1995 | 1995	"March 18 , 1995"	Yes	"[[0.00867726095020771, 0.9913227558135986], [0.9497385621070862, 0.05026133731007576], [0.012718635611236095, 0.987281322479248], [0.010001086629927158, 0.9899988770484924]]"
